bookId-chunkNo	F0	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34
pg35212-5	0.0215	0.1013	0.0033	0.0164	0.0142	0.029	0.0341	0.0657	0.0334	0.0007	0.0042	0.0193	0.0004	0.124	0.1349	0.0071	0.2632	0.5263	0.2105	0.4833	0.2998	0.3998	-0.005	0.0129	0.014	0.0023	-0.0049	-0.0095	0.0038	-0.005	-0.0078	-0.0006	0	0	0
pg19412-3	0.0103	0.1215	0.1677	0.0914	0.0189	0.0258	0.0353	0.0672	0.0346	0.0008	0.008	0.0138	0.003	0.1251	0.0566	0.0154	0.1667	0.2083	0.625	0.7005	-0.0133	0.1579	0.0032	0.0053	-0.0082	0.0105	0.0113	0.0014	-0.0098	-0.0086	0.0035	-0.0085	0.045	0.1053	0
pg35212-4	0.017	0.1486	0.0031	0.0201	0.0122	0.0311	0.0313	0.0676	0.0316	0.0005	0.0045	0.0186	0.0004	0.1225	0.1609	0.0064	0.2632	0.4211	0.3158	0.473	0.2998	0.3998	-0.005	0.0129	0.014	0.0023	-0.0049	-0.0095	0.0038	-0.005	-0.0078	-0.0006	0.0188	0	0
pg19412-4	0.0159	0.2036	0.1138	0.0952	0.0173	0.0258	0.0358	0.0701	0.0341	0.0005	0.0057	0.01	0.0056	0.1221	0.0455	0.0253	0.375	0.2083	0.4167	0.7308	-0.0133	0.1579	0.0032	0.0053	-0.0082	0.0105	0.0113	0.0014	-0.0098	-0.0086	0.0035	-0.0085	0.2068	0.2105	0
pg35212-3	0.0174	0.1084	0.007	0.0163	0.0123	0.0265	0.0388	0.0667	0.0303	0.0018	0.0038	0.0223	0.0004	0.1334	0.181	0.01	0.1579	0.6316	0.2105	0.4712	0.2998	0.3998	-0.005	0.0129	0.014	0.0023	-0.0049	-0.0095	0.0038	-0.005	-0.0078	-0.0006	0.0228	0	0
pg14454-13	0.0122	0.1374	0.0921	0.1024	0.0279	0.0248	0.0298	0.0603	0.0453	0.0004	0.0083	0.0067	0.0044	0.1055	-0.0438	0.025	0.4815	0.0741	0.4444	0.7782	-0.0694	-0.1115	-0.0075	-0.0023	-0.0095	-0.0008	0.008	0.0128	-0.0015	0.0021	0.0105	-0.0117	0.2155	0.2895	0
pg13454-20	0.0118	0.0667	0.1762	0.0912	0.0212	0.0278	0.0313	0.0553	0.0357	0.0005	0.0026	0.0077	0.0036	0.0974	0.0618	0.0028	0.2273	0.2273	0.5455	0.6837	0.1794	-0.222	-0.0004	0.0139	0.0029	0.0026	-0.0031	-0.0045	-0.0116	-0.0055	0.0122	-0.0065	0	0	0
pg14454-14	0.014	0.1718	0.0465	0.1	0.0269	0.0253	0.0324	0.0651	0.0419	0.0005	0.0075	0.0087	0.0053	0.1142	-0.0224	0.0242	0.2963	0.3333	0.3704	0.7628	-0.0694	-0.1115	-0.0075	-0.0023	-0.0095	-0.0008	0.008	0.0128	-0.0015	0.0021	0.0105	-0.0117	0.2242	0.2105	0
pg13454-21	0.0056	0.4286	0.0641	0.046	0.0145	0.034	0.0298	0.0541	0.0286	0.0025	0.0023	0.0122	0.0002	0.1008	0.2163	0	0.1818	0.3636	0.4545	0.4701	0.1794	-0.222	-0.0004	0.0139	0.0029	0.0026	-0.0031	-0.0045	-0.0116	-0.0055	0.0122	-0.0065	0	0	0
pg14454-11	0.0199	0.1268	0.1578	0.1085	0.0271	0.0207	0.0279	0.0593	0.0469	0.0002	0.0085	0.0079	0.0083	0.1038	-0.0702	0.048	0.4615	0.2692	0.2692	0.759	-0.0694	-0.1115	-0.0075	-0.0023	-0.0095	-0.0008	0.008	0.0128	-0.0015	0.0021	0.0105	-0.0117	0.4066	0.3947	0
pg14454-12	0.016	0.1304	0.1927	0.0954	0.0281	0.0266	0.0317	0.0594	0.0416	0.0003	0.008	0.007	0.0076	0.1064	-0.0456	0.0331	0.4444	0.1852	0.3704	0.719	-0.0694	-0.1115	-0.0075	-0.0023	-0.0095	-0.0008	0.008	0.0128	-0.0015	0.0021	0.0105	-0.0117	0.3026	0.2368	0
pg14454-10	0.013	0.1166	0.1842	0.107	0.0336	0.0259	0.0334	0.0543	0.0443	0.0005	0.0047	0.0092	0.0068	0.1021	-0.0467	0.0231	0.2963	0.2963	0.4074	0.7702	-0.0694	-0.1115	-0.0075	-0.0023	-0.0095	-0.0008	0.008	0.0128	-0.0015	0.0021	0.0105	-0.0117	0.2041	0.2632	0
pg17402-1	0.0209	0.2726	0.2175	0.0723	0.0238	0.0235	0.0308	0.051	0.0634	0.0005	0.0035	0.006	0.0104	0.0918	-0.1416	0.0324	0.2927	0.2439	0.4634	0.7505	-0.0889	-0.0626	0.0059	0.0048	-0.0092	-0.0116	0.0028	-0.0037	-0.0096	0.0117	0.01	-0.0012	0.1982	0.2895	0
pg17402-2	0.0256	0.3132	0.2309	0.0621	0.0241	0.0222	0.0297	0.0463	0.0631	0.0016	0.0087	0.0039	0.0124	0.0902	-0.1491	0.0429	0.5122	0.122	0.3659	0.7585	-0.0889	-0.0626	0.0059	0.0048	-0.0092	-0.0116	0.0028	-0.0037	-0.0096	0.0117	0.01	-0.0012	0.2516	0.3421	0
pg17402-3	0.0166	0.2819	0.3217	0.0592	0.0238	0.0268	0.0323	0.0483	0.0576	0.0006	0.0066	0.0027	0.0101	0.0905	-0.1154	0.0173	0.55	0.25	0.2	0.7222	-0.0889	-0.0626	0.0059	0.0048	-0.0092	-0.0116	0.0028	-0.0037	-0.0096	0.0117	0.01	-0.0012	0.1208	0.1316	0
pg14712-12	0.0112	0.3516	0.0451	0.075	0.0258	0.0275	0.0289	0.0662	0.0447	0.0007	0.0073	0.0094	0.0116	0.1125	-0.0511	0.0286	0.48	0.2	0.32	0.7717	-0.066	-0.2759	0.0127	0.0043	-0.0057	-0.0015	0.0057	-0.0091	-0.0048	0.0123	-0.0079	-0.0061	0.227	0.2895	0
pg43925-9	0.028	0.1902	0.1165	0.0662	0.0274	0.0248	0.0267	0.0858	0.036	0.002	0.0112	0.005	0.0072	0.1307	0.0092	0.0524	0.56	0.32	0.12	0.6672	-0.113	-0.108	-0.0042	-0.0095	-0.0106	0.0111	0.0109	0.0013	-0.004	-0.0072	0.0079	0.0043	0.5796	0.3158	0
pg14454-15	0.0132	0.1033	0.1116	0.0984	0.0225	0.0241	0.0371	0.0629	0.0435	0.0007	0.008	0.0075	0.0072	0.1162	-0.0445	0.0228	0.4074	0.1852	0.4074	0.7791	-0.0694	-0.1115	-0.0075	-0.0023	-0.0095	-0.0008	0.008	0.0128	-0.0015	0.0021	0.0105	-0.0117	0.2013	0.1579	0
